طابع زمني,Q1. What type of problem excites you the most,"Q2. In a team project, which role feels most, you","Q3. When you see a new technology, your first thought is",Q4. Which type of course would you enjoy most,Q5. Which challenge sounds more fun,Q6. What type of tools do you like working with,Q7. Which subject did you enjoy most,"Q8. Imagine your future job, what excites you more",:Q9. Your favorite type of project would be,Q10. Which statement describes you best,"Q11 (Final – Label): Based on your answers, which major interests you most",Check
10:34:36 ص 2025/10/30,Designing fun and interactive games,Designing game mechanics and levels,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Networking and Systems,Creating entertaining games,3D game with interactive levels,“I enjoy building things people can use”,Game Development,KEEP
10:45:00 ص 2025/10/30,Deploying systems and making them scalable,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Developing a multiplayer game,"React, Flutter, Node.js",Computer Programming,Developing useful applications,3D game with interactive levels,“I enjoy building things people can use”,Application / Web Development,KEEP
10:55:22 ص 2025/10/30,Finding security flaws before hackers do,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Predicting future sales using past data,"Unity, Unreal Engine",Physics and Game Mechanics,Turning data into business decisions,E-commerce website or mobile app,“I enjoy building things people can use”,Data Science / Analytics,KEEP
11:05:42 ص 2025/10/30,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I make it look and feel amazing?,UI/UX and Interaction Design,Designing a smooth checkout flow for an e-commerce app,"Figma, Adobe XD",Arts and Creative Design,Designing experiences people like,UI redesign of a popular app,“I care about how apps look and feel”,UI/UX Design,KEEP
12:06:35 م 2025/10/30,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I make this learn by itself?,Machine Learning and AI,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Statistics and Analysis,Building AI solutions,Data dashboard for decision makers,"“I think logically and love algorithms""",Data Science / Analytics,KEEP
11:23:59 م 2025/10/30,Finding security flaws before hackers do,Making sure it’s safe and protected,How secure is this? Can it be hacked?,Cybersecurity and Ethical Hacking,Creating a to-do list app that everyone likes,"Wireshark, Kali Linux",Mathematics and Logic,Protecting systems from attacks,Penetration testing of a company network,“I always think about security and risks”,Cybersecurity,KEEP
11:34:29 ص 2025/11/06,Designing fun and interactive games,Designing game mechanics and levels,How secure is this? Can it be hacked?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Computer Programming,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
11:42:52 ص 2025/11/06,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
11:45:12 ص 2025/11/06,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,Web/App Development,Developing a multiplayer game,"React, Flutter, Node.js",Computer Programming,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
2:20:41 م 2025/11/06,Deploying systems and making them scalable,Collecting data and analyzing the results,What data can I gather and analyze from this?,Web/App Development,Building a chatbot that understands users,"React, Flutter, Node.js",Computer Programming,Turning data into business decisions,UI redesign of a popular app,“I enjoy building things people can use”,Data Science / Analytics,KEEP
12:22:41 ص 2025/11/15,Designing fun and interactive games,Designing game mechanics and levels,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Physics and Game Mechanics,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
12:25:39 ص 2025/11/15,Teaching a computer to learn and make predictions,Collecting data and analyzing the results,How can I make it look and feel amazing?,UI/UX and Interaction Design,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Arts and Creative Design,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,UI/UX Design,KEEP
12:32:41 ص 2025/11/15,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I build something useful with this?,Machine Learning and AI,Building a chatbot that understands users,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Developing useful applications,AI-based recommendation system,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
12:34:18 ص 2025/11/15,Building an app or website that people can use,Building the main functionality of the app,How can I build something useful with this?,UI/UX and Interaction Design,Creating a to-do list app that everyone likes,"Excel, PowerBI, Jupyter Notebooks",Physics and Game Mechanics,Developing useful applications,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
12:37:15 ص 2025/11/15,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I make it look and feel amazing?,Web/App Development,Developing a multiplayer game,"Excel, PowerBI, Jupyter Notebooks",Networking and Systems,Protecting systems from attacks,E-commerce website or mobile app,“I enjoy designing and making fun experiences”,UI/UX Design,KEEP
12:48:54 ص 2025/11/15,Teaching a computer to learn and make predictions,Collecting data and analyzing the results,How can I make this learn by itself?,Data Science and Big Data Analytics,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Turning data into business decisions,AI-based recommendation system,“I like finding patterns in numbers and data”,Data Science / Analytics,KEEP
1:01:51 ص 2025/11/15,Building an app or website that people can use,Designing how users will interact with it,How secure is this? Can it be hacked?,Machine Learning and AI,Stopping a simulated cyber-attack,"Unity, Unreal Engine",Security and Risk,Developing useful applications,3D game with interactive levels,“I always think about security and risks”,Artificial Intelligence / Machine Learning,KEEP
1:11:14 ص 2025/11/15,Finding security flaws before hackers do,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Stopping a simulated cyber-attack,"Python, ML libraries (TensorFlow, PyTorch)",Networking and Systems,Building AI solutions,3D game with interactive levels,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
9:31:49 ص 2025/11/15,Teaching a computer to learn and make predictions,Making sure it’s safe and protected,How can I build something useful with this?,Web/App Development,Designing a smooth checkout flow for an e-commerce app,"Python, ML libraries (TensorFlow, PyTorch)",Statistics and Analysis,Developing useful applications,Penetration testing of a company network,“I enjoy building things people can use”,Cybersecurity,KEEP
10:48:01 ص 2025/11/15,Teaching a computer to learn and make predictions,Designing how users will interact with it,How secure is this? Can it be hacked?,UI/UX and Interaction Design,Designing a smooth checkout flow for an e-commerce app,"Wireshark, Kali Linux",Statistics and Analysis,Developing useful applications,Penetration testing of a company network,“I care about how apps look and feel”,UI/UX Design,KEEP
9:36:32 م 2025/11/16,Discovering hidden insights from big datasets,Making sure it’s safe and protected,How can I build something useful with this?,Web/App Development,Stopping a simulated cyber-attack,"Python, ML libraries (TensorFlow, PyTorch)",Mathematics and Logic,Managing infrastructure for millions of users,E-commerce website or mobile app,"“I think logically and love algorithms""",Artificial Intelligence / Machine Learning,KEEP
